mood_id,name,genre,tempo_bpm,energy,instruments,best_for,description
elegant-ambient,"Elegant Ambient",ambient,70,low,"soft piano pad synths subtle strings reverb textures","luxury brands meditation wellness intros","Delicate atmospheric layers with soft piano and ethereal pads creating a refined spacious feel"
upbeat-corporate,"Upbeat Corporate",corporate pop,120,medium,"acoustic guitar light drums claps piano ukulele","explainer videos product demos company culture","Bright positive rhythm with clean guitar and light percussion conveying professionalism with energy"
emotional-cinematic,"Emotional Cinematic",cinematic,85,medium,"orchestral strings piano french horn celeste choir","brand films testimonials impact stories","Sweeping orchestral arrangement building emotional resonance with soaring strings and tender piano"
tech-electronic,"Tech Electronic",electronic,128,high,"synthesizers arpeggios digital percussion bass drops glitch fx","tech launches AI demos SaaS products","Pulsing electronic textures with crisp synths and futuristic sound design conveying innovation"
playful-light,"Playful Light",indie pop,115,medium,"xylophone pizzicato strings whistling light acoustic guitar","children brands social content lifestyle","Cheerful bouncy melody with playful instruments and a carefree lighthearted spirit"
intense-dramatic,"Intense Dramatic",cinematic trailer,140,very-high,"deep brass percussion hits taiko drums choir staccato strings","trailers event openers dramatic reveals","Powerful driving percussion with massive brass hits and urgent strings building to climactic impact"
chill-lofi,"Chill Lo-Fi",lo-fi hip hop,80,low,"dusty vinyl samples mellow keys jazz chords tape hiss muted drums","background content social reels relaxed tutorials","Warm nostalgic beats with vinyl crackle lo-fi texture and smooth mellow jazzy chord progressions"
inspiring-orchestral,"Inspiring Orchestral",orchestral,100,high,"full orchestra timpani snare roll soaring violins triumphant brass","motivational content graduations achievements milestones","Grand uplifting orchestral movement building from intimate strings to a triumphant full-ensemble crescendo"
warm-acoustic,"Warm Acoustic",acoustic folk,95,low,"fingerpicked guitar soft vocals harmonica subtle brushed drums","personal stories organic brands founder narratives","Intimate gentle acoustic guitar with warm natural tones evoking authenticity and personal connection"
energetic-pop,"Energetic Pop",pop,130,high,"electric bass synth chords punchy drums handclaps vocal chops","social ads fitness content launches events","High-energy driving pop beat with catchy hooks punchy bass and infectious rhythmic momentum"
sophisticated-jazz,"Sophisticated Jazz",jazz,105,medium,"tenor saxophone upright bass brushed ride cymbal piano trio","fine dining luxury real estate premium services","Smooth sophisticated jazz ensemble with breathy saxophone warm upright bass and tasteful improvisations"
motivational-epic,"Motivational Epic",epic orchestral,110,very-high,"massive drums layered choir power guitars orchestral swells risers","keynote openings year-in-review recruitment hero content","Monumental epic arrangement with thunderous percussion choir swells and relentless forward momentum inspiring action"
serene-nature,"Serene Nature",new age,65,low,"flute nature sounds gentle harp flowing water wind chimes","wellness retreats environmental content mindfulness","Peaceful flowing soundscape with gentle flute and organic nature textures evoking tranquility and calm"
groovy-funk,"Groovy Funk",funk,118,high,"slap bass wah guitar clavinet punchy horns tight drums","fashion streetwear culture food nightlife","Infectious groove-driven funk with tight rhythms slap bass wah guitar and punchy horn stabs"
dark-tension,"Dark Tension",dark ambient,90,medium,"low drones distorted textures reverse reverb sub bass metallic hits","thriller promos cybersecurity dramatic intros","Brooding atmospheric tension with deep drones unsettling textures and suspenseful slow-building intensity"
