transition_id,name,type,description,duration_seconds,best_for,remotion_component
fade-in,"Fade In",opacity,"Gradually increases opacity from fully transparent to fully visible",1.0,"opening shots intro sequences first scene","transition-fade"
fade-out,"Fade Out",opacity,"Gradually decreases opacity from fully visible to fully transparent",1.0,"closing shots endings final frames","transition-fade"
cross-dissolve,"Cross Dissolve",opacity,"Blends two clips by simultaneously fading out one and fading in the next",1.5,"smooth scene transitions passage of time emotional beats","transition-fade"
fade-from-black,"Fade from Black",opacity,"Emerges from solid black into the scene",1.2,"video openings chapter starts dramatic reveals","transition-fade"
fade-to-black,"Fade to Black",opacity,"Scene dissolves into solid black",1.2,"video endings chapter breaks dramatic pauses","transition-fade"
wipe-left,"Wipe Left",directional,"New scene sweeps in from right to left replacing the current scene",0.8,"sequential content step-by-step flows dynamic presentations","transition-wipe"
wipe-right,"Wipe Right",directional,"New scene sweeps in from left to right replacing the current scene",0.8,"sequential content forward progression timeline flows","transition-wipe"
wipe-up,"Wipe Up",directional,"New scene sweeps in from bottom to top replacing the current scene",0.8,"reveals upward energy ascending themes growth content","transition-wipe"
wipe-down,"Wipe Down",directional,"New scene sweeps in from top to bottom replacing the current scene",0.8,"reveals descending themes data drops grounding content","transition-wipe"
zoom-in,"Zoom In",scale,"Camera zooms into the next scene creating a push-in focus effect",0.6,"emphasis detail reveals product close-ups focus moments","transition-fade"
zoom-out,"Zoom Out",scale,"Camera zooms out from the next scene creating a pull-back reveal effect",0.8,"reveals context establishing landscape wide perspective","transition-fade"
cut,"Hard Cut",instant,"Immediate switch from one clip to the next with no transition effect",0.0,"fast-paced edits dialogue scenes action sequences matched cuts","none"
morph-cut,"Morph Cut",blend,"Smooth morphing blend between two similar frames for seamless continuity",1.0,"talking head edits interview jump cuts seamless dialogue","transition-fade"
j-cut,"J-Cut",audio-lead,"Audio from the next scene begins before the visual transition occurs",0.0,"dialogue scenes building anticipation narrative storytelling","none"
l-cut,"L-Cut",audio-trail,"Audio from the current scene continues over the visual of the next scene",0.0,"dialogue continuity emotional resonance reaction shots","none"
slide-push,"Slide Push",directional,"Current scene is pushed off screen by the incoming scene sliding in",0.7,"content sections topic changes slide-style presentations","transition-wipe"
